City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Liverpool,GB,53.4106,-2.9779,41.61,89,20,1.99,few clouds
1,Nikolskoye,RU,59.7035,30.7861,29.71,94,100,13.15,snow
2,Mataura,NZ,-46.1927,168.8643,61.48,93,100,2.77,overcast clouds
3,Atuona,PF,-9.8,-139.0333,77.86,75,10,14.85,clear sky
4,Gwadar,PK,25.1216,62.3254,76.3,63,0,13.62,clear sky
5,Cape Town,ZA,-33.9258,18.4232,81.1,52,0,5.99,clear sky
6,Qaanaaq,GL,77.484,-69.3632,-10.28,91,95,5.93,overcast clouds
7,Olafsvik,IS,64.8945,-23.7142,35.19,95,100,27.85,light snow
8,Novouzensk,RU,50.4592,48.1431,31.8,96,100,16.84,light snow
9,Yellowknife,CA,62.456,-114.3525,-18.58,93,20,6.91,few clouds
10,Shimoda,JP,34.6667,138.95,42.1,62,100,5.41,overcast clouds
11,Tasiilaq,GL,65.6145,-37.6368,10.56,55,1,11.68,clear sky
12,Bluff,NZ,-46.6,168.3333,61.81,92,100,8.39,overcast clouds
13,Byron Bay,AU,-28.65,153.6167,79.05,86,81,8.79,broken clouds
14,Kapaa,US,22.0752,-159.319,67.12,59,38,8.57,scattered clouds
15,Busselton,AU,-33.65,115.3333,84.04,42,0,20.51,clear sky
16,Bilibino,RU,68.0546,166.4372,0.0,91,100,3.98,overcast clouds
17,Malindi,KE,-3.2175,40.1191,81.9,72,100,13.56,overcast clouds
18,Bambous Virieux,MU,-20.3428,57.7575,87.22,66,71,14.38,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,76.73,63,100,6.89,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,81.9,60,41,15.88,scattered clouds
21,Zhezkazgan,KZ,47.8043,67.7144,19.38,86,75,17.9,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,41.11,70,86,12.53,overcast clouds
23,Hobart,AU,-42.8794,147.3294,77.22,67,20,1.99,few clouds
24,Makakilo City,US,21.3469,-158.0858,72.68,70,22,9.04,few clouds
25,Valparaiso,CL,-33.0393,-71.6273,65.48,74,0,3.44,clear sky
26,Thompson,CA,55.7435,-97.8558,-5.66,99,100,2.51,overcast clouds
27,Avera,US,33.194,-82.5271,29.71,36,1,5.91,clear sky
28,Alghero,IT,40.5589,8.3181,51.89,87,20,10.36,few clouds
29,Ushuaia,AR,-54.8,-68.3,44.26,81,75,13.8,broken clouds
30,Nelson Bay,AU,-32.7167,152.15,80.1,72,62,1.01,broken clouds
31,Dmitriyevka,RU,54.75,55.3333,11.75,94,97,10.2,light snow
32,Saldanha,ZA,-33.0117,17.9442,71.1,62,0,10.33,clear sky
33,Bredasdorp,ZA,-34.5322,20.0403,78.28,59,53,17.11,broken clouds
34,Karasburg,NA,-28.0167,18.75,87.46,29,94,12.41,overcast clouds
35,New Norfolk,AU,-42.7826,147.0587,76.87,43,14,1.99,few clouds
36,Ponta Do Sol,PT,32.6667,-17.1,63.23,37,5,7.0,clear sky
37,Arraial Do Cabo,BR,-22.9661,-42.0278,74.86,95,82,4.56,broken clouds
38,Tinde,TZ,-3.8833,33.2,74.12,67,88,6.67,overcast clouds
39,Jimenez,MX,28.3333,-105.4,50.92,58,0,7.05,clear sky
40,San Patricio,US,28.017,-97.5169,53.44,66,0,7.0,clear sky
41,Carnarvon,AU,-24.8667,113.6333,82.42,70,2,14.99,clear sky
42,Kodiak,US,57.79,-152.4072,23.74,79,5,8.37,clear sky
43,Vaini,TO,-21.2,-175.2,81.16,78,100,13.85,light rain
44,Severo-Kurilsk,RU,50.6789,156.125,25.63,92,100,15.99,snow
45,Aleppo,SY,36.25,37.5,43.36,65,100,12.8,overcast clouds
46,Broken Hill,AU,-31.95,141.4333,85.82,48,100,8.21,overcast clouds
47,Vegreville,CA,53.5001,-112.0518,22.37,88,92,6.15,overcast clouds
48,Leningradskiy,RU,69.3833,178.4167,-7.19,91,100,4.0,overcast clouds
49,Hasaki,JP,35.7333,140.8333,45.0,41,100,7.49,overcast clouds
50,Narsaq,GL,60.9167,-46.05,8.82,76,87,7.81,overcast clouds
51,Berlevag,NO,70.8578,29.0864,26.47,85,100,12.41,light snow
52,Upernavik,GL,72.7868,-56.1549,-2.7,96,100,3.65,overcast clouds
53,Hofn,IS,64.2539,-15.2082,32.63,70,100,1.79,overcast clouds
54,Albany,US,42.6001,-73.9662,6.51,53,37,18.01,scattered clouds
55,Norman Wells,CA,65.282,-126.8329,-19.62,98,100,6.89,overcast clouds
56,Port Elizabeth,ZA,-33.918,25.5701,81.1,62,0,7.7,clear sky
57,Sao Domingos,BR,-13.3983,-46.3183,66.25,95,100,3.87,overcast clouds
58,Banjar,ID,-8.19,114.9675,87.66,81,100,4.0,overcast clouds
59,Aktash,RU,50.3,87.7333,8.26,70,24,3.74,few clouds
60,Puerto Ayora,EC,-0.7393,-90.3518,72.9,84,100,5.68,overcast clouds
61,Esperance,AU,-33.8667,121.9,82.2,50,18,25.32,few clouds
62,Chara,RU,56.9064,118.2631,-13.59,94,24,1.36,few clouds
63,Bethel,US,41.3712,-73.414,12.56,48,0,3.0,clear sky
64,Tsiroanomandidy,MG,-18.7667,46.0333,83.37,59,38,1.45,light rain
65,Casma,CL,-41.0082,-73.1244,56.48,99,89,4.16,overcast clouds
66,Saskylakh,RU,71.9167,114.0833,-19.26,100,100,2.84,overcast clouds
67,Jepara,ID,-5.1695,105.7044,85.73,70,100,1.59,moderate rain
68,Saint George,US,37.1041,-113.5841,46.35,30,1,1.99,clear sky
69,Caravelas,BR,-17.7125,-39.2481,74.88,87,19,7.31,few clouds
70,Kiunga,PG,-6.1219,141.2906,76.68,94,100,1.19,overcast clouds
